Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
12,60,6,85.0,11924,2,,2,1,1,1,1,16,3,3,1.0,4,9,5,2005,2006,4,2,17,17,5.0,286.0,1,3,3,1.0,3.0,4.0,1.0,998,6.0,0,177,1175,2,1,1,1.0,1182,1142,0,2324,1,0,3,0,4,1,1,11,1,2,2.0,4.0,2005.0,1.0,3,736,3.0,3.0,1,147,21,0,0,0,0,,,,0,7,2006,4,6,345000
13,20,6,,12968,2,,3,1,1,1,1,20,3,3,1.0,1,5,6,1962,1962,4,2,7,11,4.0,0.0,3,3,2,3.0,3.0,4.0,2.0,737,6.0,0,175,912,2,3,1,1.0,912,0,0,912,1,0,1,0,2,1,3,4,1,0,,6.0,1962.0,3.0,1,352,3.0,3.0,1,140,0,0,0,176,0,,,,0,9,2008,1,1,144000
14,20,6,91.0,10652,2,,2,1,1,1,1,6,3,3,1.0,1,7,5,2006,2007,2,2,15,15,5.0,306.0,2,3,3,2.0,3.0,2.0,6.0,0,6.0,0,1494,1494,2,1,1,1.0,1494,0,0,1494,0,0,2,0,3,1,2,7,1,1,2.0,2.0,2006.0,2.0,3,840,3.0,3.0,1,160,33,0,0,0,0,,,,0,8,2007,4,6,279500
15,20,6,,10920,2,,2,1,1,2,1,13,3,3,1.0,1,6,5,1960,1960,4,2,9,9,2.0,212.0,3,3,2,3.0,3.0,4.0,3.0,733,6.0,0,520,1253,2,3,1,1.0,1253,0,0,1253,1,0,1,1,2,1,3,5,1,1,4.0,2.0,1960.0,2.0,1,352,3.0,3.0,1,0,213,176,0,0,0,,3.0,,0,5,2008,1,1,157000
16,45,8,51.0,6120,2,,1,1,1,2,1,4,3,3,1.0,3,7,8,1929,2001,2,2,16,16,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,832,832,2,1,1,2.0,854,0,0,854,0,0,1,0,2,1,3,5,1,0,,6.0,1991.0,3.0,2,576,3.0,3.0,1,48,112,0,0,0,0,,1.0,,0,7,2007,1,1,132000
17,20,6,,11241,2,,2,1,1,3,1,13,3,3,1.0,1,6,7,1970,1970,2,2,16,16,2.0,180.0,3,3,2,3.0,3.0,4.0,2.0,578,6.0,0,426,1004,2,1,1,1.0,1004,0,0,1004,1,0,1,0,2,1,3,5,1,1,3.0,2.0,1970.0,1.0,2,480,3.0,3.0,1,0,0,0,0,0,0,,,4.0,700,3,2010,1,1,149000
18,90,6,72.0,10791,2,,1,1,1,1,1,20,3,3,3.0,1,4,5,1967,1967,2,2,9,9,4.0,0.0,3,3,4,,,,,0,,0,0,0,2,3,1,1.0,1296,0,0,1296,0,0,2,0,2,2,3,6,1,0,,5.0,1967.0,3.0,2,516,3.0,3.0,1,0,0,0,0,0,0,,,4.0,500,10,2006,1,1,90000
19,20,6,66.0,13695,2,,1,1,1,1,1,21,9,3,1.0,1,5,5,2004,2004,2,2,15,15,4.0,0.0,3,3,3,3.0,3.0,4.0,1.0,646,6.0,0,468,1114,2,1,1,1.0,1114,0,0,1114,1,0,1,1,3,1,2,6,1,0,,6.0,2004.0,3.0,2,576,3.0,3.0,1,0,102,0,0,0,0,,,,0,6,2008,1,1,159000
20,20,6,70.0,7560,2,,1,1,1,1,1,13,3,3,1.0,1,5,6,1958,1965,4,2,4,11,4.0,0.0,3,3,2,3.0,3.0,4.0,5.0,504,6.0,0,525,1029,2,3,1,1.0,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,,2.0,1958.0,3.0,1,294,3.0,3.0,1,0,0,0,0,0,0,,2.0,,0,5,2009,5,2,139000
21,60,6,101.0,14215,2,,2,1,1,2,1,16,3,3,1.0,4,8,5,2005,2006,2,2,15,15,2.0,380.0,2,3,3,1.0,3.0,2.0,6.0,0,6.0,0,1158,1158,2,1,1,1.0,1158,1218,0,2376,0,0,3,1,4,1,2,9,1,1,2.0,4.0,2005.0,2.0,3,853,3.0,3.0,1,240,154,0,0,0,0,,,,0,11,2006,4,6,325300
22,45,8,57.0,7449,2,1.0,1,2,1,1,1,10,3,3,1.0,3,7,7,1930,1950,2,2,16,16,4.0,0.0,3,3,3,3.0,3.0,4.0,6.0,0,6.0,0,637,637,2,1,1,3.0,1108,0,0,1108,0,0,1,0,3,1,2,6,1,1,2.0,2.0,1930.0,3.0,1,280,3.0,3.0,3,0,0,205,0,0,0,,1.0,,0,6,2007,1,1,139400
23,20,6,75.0,9742,2,,1,1,1,1,1,6,3,3,1.0,1,8,5,2002,2002,4,2,15,15,2.0,281.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,1777,1777,2,1,1,1.0,1795,0,0,1795,0,0,2,0,3,1,2,7,1,1,2.0,2.0,2002.0,2.0,2,534,3.0,3.0,1,171,159,0,0,0,0,,,,0,9,2008,1,1,230000
24,120,8,44.0,4224,2,,1,1,1,1,1,11,3,3,4.0,1,5,7,1976,1976,2,2,6,6,4.0,0.0,3,3,3,2.0,3.0,4.0,1.0,840,6.0,0,200,1040,2,3,1,1.0,1060,0,0,1060,1,0,1,0,3,1,3,6,1,1,3.0,2.0,1976.0,3.0,2,572,3.0,3.0,1,100,110,0,0,0,0,,,,0,6,2007,1,1,129900
25,20,6,,8246,2,,2,1,1,1,1,20,3,3,1.0,1,5,8,1968,2001,2,2,11,11,4.0,0.0,3,2,2,3.0,3.0,3.0,4.0,188,2.0,668,204,1060,2,1,1,1.0,1060,0,0,1060,1,0,1,0,3,1,2,6,1,1,3.0,2.0,1968.0,3.0,1,270,3.0,3.0,1,406,90,0,0,0,0,,2.0,,0,5,2010,1,1,154000
26,20,6,110.0,14230,2,,1,1,1,2,1,16,3,3,1.0,1,8,5,2007,2007,2,2,15,15,5.0,640.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,1566,1566,2,1,1,1.0,1600,0,0,1600,0,0,2,0,3,1,2,7,1,1,2.0,2.0,2007.0,2.0,3,890,3.0,3.0,1,0,56,0,0,0,0,,,,0,7,2009,1,1,256300
27,20,6,60.0,7200,2,,1,1,1,2,1,13,3,3,1.0,1,5,7,1951,2000,2,2,16,16,4.0,0.0,3,3,2,3.0,3.0,3.0,3.0,234,4.0,486,180,900,2,3,1,1.0,900,0,0,900,0,1,1,0,3,1,2,5,1,0,,6.0,2005.0,3.0,2,576,3.0,3.0,1,222,32,0,0,0,0,,,,0,5,2010,1,1,134800
28,20,6,98.0,11478,2,,1,1,1,1,1,16,3,3,1.0,1,8,5,2007,2008,2,2,15,15,5.0,200.0,2,3,3,1.0,3.0,4.0,1.0,1218,6.0,0,486,1704,2,1,1,1.0,1704,0,0,1704,1,0,2,0,3,1,2,7,1,1,2.0,2.0,2008.0,2.0,3,772,3.0,3.0,1,0,50,0,0,0,0,,,,0,5,2010,1,1,306000
29,20,6,47.0,16321,2,,2,1,1,3,1,13,3,3,1.0,1,5,6,1957,1997,2,2,9,9,4.0,0.0,3,3,2,3.0,3.0,1.0,3.0,1277,6.0,0,207,1484,2,3,1,1.0,1600,0,0,1600,1,0,1,0,2,1,3,6,1,2,2.0,2.0,1957.0,2.0,1,319,3.0,3.0,1,288,258,0,0,0,0,,,,0,12,2006,1,1,207500
30,30,8,60.0,6324,2,,2,1,1,1,1,4,2,4,1.0,1,4,6,1927,1950,2,2,9,9,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,520,520,2,4,0,1.0,520,0,0,520,0,0,1,0,1,1,4,4,1,0,,6.0,1920.0,3.0,1,240,4.0,3.0,1,49,0,87,0,0,0,,,,0,5,2008,1,1,68500
31,70,2,50.0,8500,2,2.0,1,1,1,1,1,10,2,3,1.0,4,4,4,1920,1950,3,2,4,4,4.0,0.0,3,4,1,3.0,3.0,4.0,6.0,0,6.0,0,649,649,2,3,0,1.0,649,668,0,1317,0,0,1,0,3,1,3,6,1,0,,6.0,1920.0,3.0,1,250,3.0,4.0,3,0,54,172,0,0,0,,2.0,,0,7,2008,1,1,40000
32,20,6,,8544,2,,2,1,1,3,1,20,3,3,1.0,1,5,6,1966,2006,2,2,7,7,4.0,0.0,3,3,2,3.0,3.0,4.0,6.0,0,6.0,0,1228,1228,2,2,1,1.0,1228,0,0,1228,0,0,1,1,3,1,2,6,1,0,,2.0,1966.0,3.0,1,271,3.0,3.0,1,0,65,0,0,0,0,,2.0,,0,6,2008,1,1,149350
33,20,6,85.0,11049,2,,1,1,1,2,1,6,3,3,1.0,1,8,5,2007,2007,2,2,15,15,4.0,0.0,2,3,3,1.0,3.0,2.0,6.0,0,6.0,0,1234,1234,2,1,1,1.0,1234,0,0,1234,0,0,2,0,3,1,2,7,1,0,,2.0,2007.0,2.0,2,484,3.0,3.0,1,0,30,0,0,0,0,,,,0,1,2008,1,1,179900
34,20,6,70.0,10552,2,,2,1,1,1,1,13,3,3,1.0,1,5,5,1959,1959,4,2,4,4,4.0,0.0,3,3,2,3.0,3.0,4.0,4.0,1018,6.0,0,380,1398,2,2,1,1.0,1700,0,0,1700,0,1,1,1,4,1,2,6,1,1,2.0,2.0,1959.0,2.0,2,447,3.0,3.0,1,0,38,0,0,0,0,,,,0,4,2010,1,1,165500
35,120,6,60.0,7313,2,,1,1,1,1,1,16,3,3,4.0,1,9,5,2005,2005,4,2,9,9,2.0,246.0,1,3,3,1.0,3.0,4.0,1.0,1153,6.0,0,408,1561,2,1,1,1.0,1561,0,0,1561,1,0,2,0,2,1,1,6,1,1,2.0,2.0,2005.0,1.0,2,556,3.0,3.0,1,203,47,0,0,0,0,,,,0,8,2007,1,1,277500
36,60,6,108.0,13418,2,,1,1,1,1,1,16,3,3,1.0,4,8,5,2004,2005,2,2,15,15,5.0,132.0,2,3,3,1.0,3.0,2.0,6.0,0,6.0,0,1117,1117,2,1,1,1.0,1132,1320,0,2452,0,0,3,1,4,1,2,9,1,1,2.0,4.0,2004.0,1.0,3,691,3.0,3.0,1,113,32,0,0,0,0,,,,0,9,2006,1,1,309000
37,20,6,112.0,10859,2,,1,1,1,2,1,6,3,3,1.0,1,5,5,1994,1995,2,2,15,15,4.0,0.0,3,3,3,2.0,3.0,4.0,6.0,0,6.0,0,1097,1097,2,1,1,1.0,1097,0,0,1097,0,0,1,1,3,1,3,6,1,0,,2.0,1995.0,3.0,2,672,3.0,3.0,1,392,64,0,0,0,0,,,,0,6,2009,1,1,145000
38,20,6,74.0,8532,2,,1,1,1,1,1,13,3,3,1.0,1,5,6,1954,1990,4,2,16,16,2.0,650.0,3,3,2,3.0,3.0,4.0,4.0,1213,6.0,0,84,1297,2,2,1,1.0,1297,0,0,1297,0,1,1,0,3,1,3,5,1,1,3.0,2.0,1954.0,1.0,2,498,3.0,3.0,1,0,0,0,0,0,0,,,,0,10,2009,1,1,153000
39,20,6,68.0,7922,2,,1,1,1,1,1,13,3,3,1.0,1,5,7,1953,2007,2,2,15,15,4.0,0.0,3,2,2,3.0,3.0,4.0,1.0,731,6.0,0,326,1057,2,3,1,1.0,1057,0,0,1057,1,0,1,0,3,1,2,5,1,0,,6.0,1953.0,3.0,1,246,3.0,3.0,1,0,52,0,0,0,0,,,,0,1,2010,1,2,109000
40,90,6,65.0,6040,2,,1,1,1,1,1,8,3,3,3.0,1,4,5,1955,1955,2,2,1,11,4.0,0.0,3,3,3,,,,,0,,0,0,0,2,3,0,4.0,1152,0,0,1152,0,0,2,0,2,2,4,6,1,0,,,,,0,0,,,3,0,0,0,0,0,0,,,,0,6,2008,1,3,82000
41,20,6,84.0,8658,2,,1,1,1,1,1,13,3,3,1.0,1,6,5,1965,1965,2,2,16,16,2.0,101.0,3,3,2,3.0,3.0,4.0,4.0,643,6.0,0,445,1088,2,1,1,1.0,1324,0,0,1324,0,0,2,0,3,1,3,6,1,1,3.0,2.0,1965.0,2.0,2,440,3.0,3.0,1,0,138,0,0,0,0,,3.0,,0,12,2006,1,2,160000
42,20,6,115.0,16905,2,,1,1,1,1,1,24,3,3,1.0,1,5,6,1959,1959,2,2,15,15,4.0,0.0,3,2,2,3.0,3.0,1.0,3.0,967,6.0,0,383,1350,2,2,1,1.0,1328,0,0,1328,0,1,1,1,2,1,3,5,1,2,2.0,2.0,1959.0,2.0,1,308,3.0,3.0,2,0,104,0,0,0,0,,,,0,7,2007,1,1,170000
43,85,6,,9180,2,,2,1,1,3,1,21,3,3,1.0,7,5,7,1983,1983,2,2,7,7,4.0,0.0,3,3,2,2.0,3.0,2.0,2.0,747,5.0,93,0,840,2,2,1,1.0,884,0,0,884,1,0,1,0,2,1,2,5,1,0,,2.0,1983.0,2.0,2,504,3.0,2.0,1,240,0,0,0,0,0,,2.0,,0,12,2007,1,1,144000
44,20,6,,9200,2,,2,1,1,3,1,6,3,3,1.0,1,5,6,1975,1980,4,2,15,15,4.0,0.0,3,3,2,2.0,3.0,2.0,5.0,280,3.0,491,167,938,2,3,1,1.0,938,0,0,938,1,0,1,0,3,1,3,5,1,0,,6.0,1977.0,3.0,1,308,3.0,3.0,1,145,0,0,0,0,0,,2.0,,0,7,2008,1,1,130250
45,20,6,70.0,7945,2,,1,1,1,1,1,13,3,3,1.0,1,5,6,1959,1959,2,2,4,16,4.0,0.0,3,3,2,3.0,3.0,4.0,2.0,179,3.0,506,465,1150,2,1,1,2.0,1150,0,0,1150,1,0,1,0,3,1,3,6,1,0,,2.0,1959.0,2.0,1,300,3.0,3.0,1,0,0,0,0,0,0,,,,0,5,2006,1,1,141000
46,120,6,61.0,7658,2,,1,1,1,1,1,16,3,3,4.0,1,9,5,2005,2005,4,2,9,9,2.0,412.0,1,3,3,1.0,3.0,4.0,1.0,456,6.0,0,1296,1752,2,1,1,1.0,1752,0,0,1752,1,0,2,0,2,1,1,6,1,1,2.0,2.0,2005.0,2.0,2,576,3.0,3.0,1,196,82,0,0,0,0,,,,0,2,2010,1,1,319900
47,50,6,48.0,12822,2,,2,1,1,3,1,12,3,3,1.0,2,7,5,2003,2003,2,2,15,15,4.0,0.0,2,3,3,1.0,3.0,4.0,1.0,1351,6.0,0,83,1434,2,1,1,1.0,1518,631,0,2149,1,0,1,1,1,1,2,6,1,1,1.0,2.0,2003.0,2.0,2,670,3.0,3.0,1,168,43,0,0,198,0,,,,0,8,2009,1,2,239686
48,20,3,84.0,11096,2,,1,1,1,1,1,22,3,3,1.0,1,8,5,2006,2006,2,2,15,15,4.0,0.0,2,3,3,2.0,3.0,2.0,1.0,24,6.0,0,1632,1656,2,1,1,1.0,1656,0,0,1656,0,0,2,0,3,1,2,7,1,0,,2.0,2006.0,2.0,3,826,3.0,3.0,1,0,146,0,0,0,0,,,,0,7,2007,1,1,249700
49,190,8,33.0,4456,2,,1,1,1,1,1,18,3,3,2.0,4,4,5,1920,2008,2,2,9,9,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,736,736,2,2,1,1.0,736,716,0,1452,0,0,2,0,2,3,3,8,1,0,,,,,0,0,,,3,0,0,102,0,0,0,,,,0,6,2009,4,6,113000
50,20,6,66.0,7742,2,,1,1,1,1,1,20,3,3,1.0,1,5,7,1966,1966,2,2,7,7,4.0,0.0,3,3,2,3.0,3.0,4.0,3.0,763,6.0,0,192,955,2,1,1,1.0,955,0,0,955,1,0,1,0,3,1,3,6,1,0,,2.0,1966.0,3.0,1,386,3.0,3.0,1,0,0,0,0,0,0,,2.0,,0,1,2007,1,1,127000
51,60,6,,13869,2,,3,1,1,2,1,9,3,3,1.0,4,6,6,1997,1997,2,2,15,15,4.0,0.0,3,3,3,2.0,3.0,2.0,1.0,182,6.0,0,612,794,2,2,1,1.0,794,676,0,1470,0,1,2,0,3,1,3,6,1,0,,2.0,1997.0,1.0,2,388,3.0,3.0,1,0,75,0,0,0,0,,,,0,7,2007,1,1,177000
52,50,8,52.0,6240,2,,1,1,1,1,1,4,3,3,1.0,2,6,6,1934,1950,2,2,16,16,4.0,0.0,3,3,3,3.0,3.0,4.0,6.0,0,6.0,0,816,816,2,3,1,1.0,816,0,360,1176,0,0,1,0,3,1,3,6,1,1,2.0,6.0,1985.0,3.0,2,528,3.0,3.0,1,112,0,0,0,0,0,,2.0,4.0,400,9,2006,1,1,114500
53,90,8,110.0,8472,1,,3,2,1,2,2,10,4,3,3.0,1,5,5,1963,1963,2,2,16,16,4.0,0.0,4,3,2,2.0,3.0,1.0,5.0,104,1.0,712,0,816,2,3,0,1.0,816,0,0,816,1,0,1,0,2,1,3,5,1,0,,5.0,1963.0,3.0,2,516,3.0,3.0,1,106,0,0,0,0,0,,,,0,5,2010,1,1,110000
54,20,6,68.0,50271,2,,2,4,1,1,1,25,3,3,1.0,1,9,5,1981,1987,2,8,17,17,4.0,0.0,2,3,2,1.0,3.0,1.0,1.0,1810,6.0,0,32,1842,2,2,1,1.0,1842,0,0,1842,2,0,0,1,0,1,2,5,1,1,2.0,2.0,1981.0,1.0,3,894,3.0,3.0,1,857,72,0,0,0,0,,,,0,11,2006,1,1,385000
55,80,6,60.0,7134,2,,1,2,1,1,2,13,3,3,1.0,8,5,5,1955,1955,2,2,9,9,4.0,0.0,3,3,2,3.0,3.0,4.0,2.0,384,6.0,0,0,384,2,3,1,1.0,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,3.0,6.0,1962.0,3.0,2,572,3.0,3.0,1,0,50,0,0,0,0,,2.0,,0,2,2007,1,1,130000
56,20,6,100.0,10175,2,,2,1,1,1,1,13,3,3,1.0,1,6,5,1964,1964,2,2,7,11,2.0,272.0,3,3,2,3.0,3.0,4.0,3.0,490,6.0,0,935,1425,2,2,1,1.0,1425,0,0,1425,0,0,2,0,3,1,3,7,1,1,2.0,2.0,1964.0,2.0,2,576,3.0,3.0,1,0,0,0,407,0,0,,,,0,7,2008,1,1,180500
57,160,3,24.0,2645,2,2.0,1,1,1,1,1,22,3,3,4.5,4,8,5,1999,2000,2,2,9,9,2.0,456.0,2,3,3,2.0,3.0,4.0,1.0,649,6.0,0,321,970,2,1,1,1.0,983,756,0,1739,1,0,2,1,3,1,2,7,1,0,,2.0,1999.0,1.0,2,480,3.0,3.0,1,115,0,0,0,0,0,,,,0,8,2009,1,2,172500
58,60,6,89.0,11645,2,,2,1,1,2,1,6,3,3,1.0,4,7,5,2004,2004,2,2,15,15,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,860,860,2,1,1,1.0,860,860,0,1720,0,0,2,1,3,1,2,7,1,0,,2.0,2004.0,2.0,2,565,3.0,3.0,1,0,70,0,0,0,0,,,,0,8,2006,1,1,196500
59,60,6,66.0,13682,2,,3,3,1,3,1,23,3,3,1.0,4,10,5,2006,2006,4,2,15,15,2.0,1031.0,1,3,3,1.0,3.0,1.0,6.0,0,6.0,0,1410,1410,2,1,1,1.0,1426,1519,0,2945,0,0,3,1,3,1,2,10,1,1,2.0,4.0,2006.0,1.0,3,641,3.0,3.0,1,192,0,37,0,0,0,,,,0,10,2006,4,6,438780
60,20,6,60.0,7200,2,,1,2,1,1,1,6,3,3,1.0,1,5,7,1972,1972,2,2,7,7,4.0,0.0,3,3,2,3.0,3.0,2.0,2.0,632,6.0,0,148,780,2,1,1,1.0,780,0,0,780,0,0,1,0,2,1,3,4,1,0,,6.0,1973.0,3.0,1,352,3.0,3.0,1,196,0,0,0,0,0,,2.0,,0,1,2008,1,1,124900
61,20,6,63.0,13072,2,,1,1,1,1,1,21,9,3,1.0,1,6,5,2004,2004,2,2,15,15,4.0,0.0,3,3,3,2.0,3.0,4.0,2.0,941,6.0,0,217,1158,2,1,1,1.0,1158,0,0,1158,1,0,1,1,3,1,2,5,1,0,,6.0,2006.0,3.0,2,576,3.0,3.0,1,0,50,0,0,0,0,,,,0,5,2006,4,6,158000
62,75,8,60.0,7200,2,,1,1,1,1,1,10,3,3,1.0,6,5,7,1920,1996,2,2,9,9,4.0,0.0,3,3,1,3.0,4.0,4.0,6.0,0,6.0,0,530,530,2,3,0,1.0,581,530,0,1111,0,0,1,0,3,1,4,6,1,0,,6.0,1935.0,3.0,1,288,3.0,3.0,3,0,0,144,0,0,0,,,,0,3,2007,1,1,101000
63,120,6,44.0,6442,2,,2,1,1,1,1,16,3,3,4.0,1,8,5,2006,2006,2,2,15,15,5.0,178.0,2,3,3,2.0,2.0,3.0,1.0,24,6.0,0,1346,1370,2,1,1,1.0,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,2.0,2.0,2006.0,2.0,2,484,3.0,3.0,1,120,49,0,0,0,0,,,,0,10,2007,1,1,202500
64,70,8,50.0,10300,2,,2,2,1,1,1,18,5,2,1.0,4,7,6,1921,1950,2,2,14,14,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,576,576,2,2,1,1.0,902,808,0,1710,0,0,2,0,3,1,3,9,1,0,,6.0,1990.0,3.0,2,480,3.0,3.0,1,12,11,64,0,0,0,,1.0,,0,4,2010,1,1,140000
65,60,6,,9375,2,,1,1,1,1,1,6,3,3,1.0,4,7,5,1997,1998,2,2,15,15,2.0,573.0,3,3,3,2.0,3.0,4.0,1.0,739,6.0,0,318,1057,2,1,1,1.0,1057,977,0,2034,1,0,2,1,3,1,2,8,1,0,,2.0,1998.0,2.0,2,645,3.0,3.0,1,576,36,0,0,0,0,,1.0,,0,2,2009,1,1,219500
